n,Team,Year,# Foreign Players,Wins,Losses,W/L Ratio,Net Wins,Total Foreign Players,ORtg,DRtg,NetRtg,Rel ORtg,Rel DRtg,Top 3 Win,Top 3 Foreign,% Foreign,location
244,Charlotte Hornets,2013,4,21,61,0.34,-40,,101.5,111.5,-10,-4.4,5.6,,,,E
245,Chicago Bulls,2013,0,45,37,1.22,8,,103.5,103.2,0.3,-2.4,-2.7,,,,E
246,Cleveland Cavaliers,2013,5,24,58,0.41,-34,,104.3,109.4,-5.1,-1.6,3.5,,,,E
247,Dallas Mavericks,2013,2,41,41,1,0,,105.9,106.5,-0.6,0,0.6,,,,W
248,Denver Nuggets,2013,4,57,25,2.28,32,,110.4,105.1,5.3,4.5,-0.8,,,,W
249,Detroit Pistons,2013,3,29,53,0.55,-24,,103.8,108.1,-4.3,-2.1,2.2,,,,E
250,Golden State Warriors,2013,3,47,35,1.34,12,,106.4,105.5,0.9,0.5,-0.4,,,,W
251,Houston Rockets,2013,5,45,37,1.22,8,,109.7,106.1,3.6,3.8,0.2,,,,W
252,Indiana Pacers,2013,1,49,32,1.53,17,,104.3,99.8,4.5,-1.6,-6.1,,,,E
253,Los Angeles Clippers,2013,1,56,26,2.15,30,,110.6,103.6,7,4.7,-2.3,,,,W
254,Los Angeles Lakers,2013,2,45,37,1.22,8,,107.8,106.6,1.2,1.9,0.7,,,,W
255,Memphis Grizzlies,2013,2,56,26,2.15,30,,104.9,100.3,4.6,-1,-5.6,,,,W
256,Miami Heat,2013,0,66,16,4.13,50,,112.3,103.7,8.6,6.4,-2.2,,,,E
257,Milwaukee Bucks,2013,5,38,44,0.86,-6,,103.6,105.2,-1.6,-2.3,-0.7,,,,E
258,Minnesota Timberwolves,2013,6,31,51,0.61,-20,,102.9,105.4,-2.5,-3,-0.5,,,,W
259,New Orleans Pelicans,2013,2,27,55,0.49,-28,,105.7,110.1,-4.4,-0.2,4.2,,,,W
260,New York Knicks,2013,1,54,28,1.93,26,,111.1,106.3,4.8,5.2,0.4,,,,E
261,Oklahoma City Thunder,2013,3,60,22,2.73,38,,112.4,102.6,9.8,6.5,-3.3,,,,W
262,Orlando Magic,2013,5,20,62,0.32,-42,,101.6,109.1,-7.5,-4.3,3.2,,,,E
263,Philadelphia 76ers,2013,0,34,48,0.71,-14,,102,105.7,-3.7,-3.9,-0.2,,,,E
